customer_id,age_group,city,occupation,gender,marital status,avg_income
ATQCUS0001,21-24,Mumbai,Salaried IT Employees,Male,Married,49767
ATQCUS0002,21-24,Mumbai,Salaried IT Employees,Male,Married,47336
ATQCUS0003,21-24,Mumbai,Salaried IT Employees,Male,Married,48851
ATQCUS0004,21-24,Mumbai,Salaried IT Employees,Male,Married,45425
ATQCUS0005,21-24,Mumbai,Salaried IT Employees,Male,Married,46732
ATQCUS0006,21-24,Mumbai,Salaried IT Employees,Male,Married,50620
ATQCUS0007,21-24,Mumbai,Salaried IT Employees,Male,Married,48756
ATQCUS0008,21-24,Mumbai,Salaried IT Employees,Male,Married,46854
ATQCUS0009,21-24,Mumbai,Salaried IT Employees,Male,Married,47879
ATQCUS0010,21-24,Mumbai,Salaried IT Employees,Male,Married,49465
ATQCUS0011,21-24,Mumbai,Salaried IT Employees,Male,Married,45444
ATQCUS0012,21-24,Mumbai,Salaried IT Employees,Male,Married,47586
ATQCUS0013,21-24,Mumbai,Salaried IT Employees,Male,Married,46713
ATQCUS0014,21-24,Mumbai,Salaried Other Employees,Male,Married,29477
ATQCUS0015,21-24,Mumbai,Salaried Other Employees,Male,Married,32195
ATQCUS0016,21-24,Mumbai,Salaried Other Employees,Male,Married,32211
ATQCUS0017,21-24,Mumbai,Salaried Other Employees,Male,Married,29195
ATQCUS0018,21-24,Mumbai,Salaried Other Employees,Male,Married,29931
ATQCUS0019,21-24,Mumbai,Salaried Other Employees,Male,Married,29782
ATQCUS0020,21-24,Mumbai,Salaried Other Employees,Male,Married,31079
ATQCUS0021,21-24,Mumbai,Salaried Other Employees,Male,Married,28332
ATQCUS0022,21-24,Mumbai,Salaried Other Employees,Male,Married,29100
ATQCUS0023,21-24,Mumbai,Business Owners,Male,Married,55473
ATQCUS0024,21-24,Mumbai,Business Owners,Male,Married,56568
ATQCUS0025,21-24,Mumbai,Business Owners,Male,Married,52696
ATQCUS0026,21-24,Mumbai,Business Owners,Male,Married,51916
ATQCUS0027,21-24,Mumbai,Business Owners,Male,Married,53003
ATQCUS0028,21-24,Mumbai,Business Owners,Male,Married,53116
ATQCUS0029,21-24,Mumbai,Business Owners,Male,Married,54613
ATQCUS0030,21-24,Mumbai,Freelancers,Male,Married,27632
ATQCUS0031,21-24,Mumbai,Freelancers,Male,Married,28246
ATQCUS0032,21-24,Mumbai,Freelancers,Male,Married,26083
ATQCUS0033,21-24,Mumbai,Freelancers,Male,Married,26592
ATQCUS0034,21-24,Mumbai,Freelancers,Male,Married,25807
ATQCUS0035,21-24,Mumbai,Freelancers,Male,Married,28673
ATQCUS0036,21-24,Mumbai,Freelancers,Male,Married,27073
ATQCUS0037,21-24,Mumbai,Government Employees,Male,Married,41125
ATQCUS0038,21-24,Mumbai,Government Employees,Male,Married,39967
ATQCUS0039,21-24,Mumbai,Government Employees,Male,Married,39166
ATQCUS0040,21-24,Mumbai,Government Employees,Male,Married,38958
ATQCUS0041,21-24,Delhi NCR,Salaried IT Employees,Male,Married,47439
ATQCUS0042,21-24,Delhi NCR,Salaried IT Employees,Male,Married,49981
ATQCUS0043,21-24,Delhi NCR,Salaried IT Employees,Male,Married,45573
